total[50000]:acc[76.07%], correct[38036.0]
565:acc[98.0%], correct[49], total[50]
566:acc[80.0%], correct[40], total[50]
567:acc[42.0%], correct[21], total[50]
568:acc[90.0%], correct[45], total[50]
569:acc[96.0%], correct[48], total[50]
570:acc[86.0%], correct[43], total[50]
571:acc[88.0%], correct[44], total[50]
572:acc[60.0%], correct[30], total[50]
573:acc[96.0%], correct[48], total[50]
574:acc[92.0%], correct[46], total[50]
575:acc[80.0%], correct[40], total[50]
576:acc[98.0%], correct[49], total[50]
577:acc[64.0%], correct[32], total[50]
578:acc[68.0%], correct[34], total[50]
579:acc[74.0%], correct[37], total[50]
580:acc[78.0%], correct[39], total[50]
581:acc[80.0%], correct[40], total[50]
582:acc[64.0%], correct[32], total[50]
583:acc[90.0%], correct[45], total[50]
584:acc[44.0%], correct[22], total[50]
585:acc[56.0%], correct[28], total[50]
586:acc[80.0%], correct[40], total[50]
587:acc[56.0%], correct[28], total[50]
588:acc[70.0%], correct[35], total[50]
589:acc[72.0%], correct[36], total[50]
590:acc[54.0%], correct[27], total[50]
591:acc[78.0%], correct[39], total[50]
592:acc[80.0%], correct[40], total[50]
593:acc[72.0%], correct[36], total[50]
594:acc[96.0%], correct[48], total[50]
595:acc[76.0%], correct[38], total[50]
596:acc[68.0%], correct[34], total[50]
597:acc[78.0%], correct[39], total[50]
598:acc[64.0%], correct[32], total[50]
599:acc[70.0%], correct[35], total[50]
600:acc[36.0%], correct[18], total[50]
601:acc[62.0%], correct[31], total[50]
602:acc[66.0%], correct[33], total[50]
603:acc[92.0%], correct[46], total[50]
604:acc[92.0%], correct[46], total[50]
605:acc[80.0%], correct[40], total[50]
606:acc[88.0%], correct[44], total[50]
607:acc[98.0%], correct[49], total[50]
608:acc[66.0%], correct[33], total[50]
609:acc[82.0%], correct[41], total[50]
610:acc[80.0%], correct[40], total[50]
611:acc[90.0%], correct[45], total[50]
612:acc[94.0%], correct[47], total[50]
613:acc[82.0%], correct[41], total[50]
614:acc[90.0%], correct[45], total[50]
615:acc[80.0%], correct[40], total[50]
616:acc[82.0%], correct[41], total[50]
617:acc[82.0%], correct[41], total[50]
618:acc[38.0%], correct[19], total[50]
619:acc[56.0%], correct[28], total[50]
620:acc[22.0%], correct[11], total[50]
621:acc[84.0%], correct[42], total[50]
622:acc[62.0%], correct[31], total[50]
623:acc[28.0%], correct[14], total[50]
624:acc[56.0%], correct[28], total[50]
625:acc[98.0%], correct[49], total[50]
626:acc[70.0%], correct[35], total[50]
627:acc[82.0%], correct[41], total[50]
628:acc[88.0%], correct[44], total[50]
629:acc[74.0%], correct[37], total[50]
630:acc[84.0%], correct[42], total[50]
631:acc[62.0%], correct[31], total[50]
632:acc[54.0%], correct[27], total[50]
633:acc[42.0%], correct[21], total[50]
634:acc[72.0%], correct[36], total[50]
635:acc[58.0%], correct[29], total[50]
636:acc[68.0%], correct[34], total[50]
637:acc[84.0%], correct[42], total[50]
638:acc[26.0%], correct[13], total[50]
639:acc[38.0%], correct[19], total[50]
640:acc[98.0%], correct[49], total[50]
641:acc[82.0%], correct[41], total[50]
642:acc[84.0%], correct[42], total[50]
643:acc[60.0%], correct[30], total[50]
644:acc[78.0%], correct[39], total[50]
645:acc[98.0%], correct[49], total[50]
646:acc[80.0%], correct[40], total[50]
647:acc[68.0%], correct[34], total[50]
648:acc[64.0%], correct[32], total[50]
649:acc[84.0%], correct[42], total[50]
650:acc[52.0%], correct[26], total[50]
651:acc[56.0%], correct[28], total[50]
652:acc[74.0%], correct[37], total[50]
653:acc[74.0%], correct[37], total[50]
654:acc[82.0%], correct[41], total[50]
655:acc[60.0%], correct[30], total[50]
656:acc[50.0%], correct[25], total[50]
657:acc[42.0%], correct[21], total[50]
658:acc[78.0%], correct[39], total[50]
659:acc[88.0%], correct[44], total[50]
660:acc[58.0%], correct[29], total[50]
661:acc[92.0%], correct[46], total[50]
662:acc[64.0%], correct[32], total[50]
663:acc[48.0%], correct[24], total[50]
664:acc[44.0%], correct[22], total[50]
665:acc[78.0%], correct[39], total[50]
666:acc[88.0%], correct[44], total[50]
667:acc[64.0%], correct[32], total[50]
668:acc[94.0%], correct[47], total[50]
669:acc[96.0%], correct[48], total[50]
670:acc[88.0%], correct[44], total[50]
671:acc[76.0%], correct[38], total[50]
672:acc[90.0%], correct[45], total[50]
673:acc[46.0%], correct[23], total[50]
674:acc[90.0%], correct[45], total[50]
675:acc[50.0%], correct[25], total[50]
676:acc[68.0%], correct[34], total[50]
677:acc[60.0%], correct[30], total[50]
678:acc[68.0%], correct[34], total[50]
679:acc[94.0%], correct[47], total[50]
680:acc[78.0%], correct[39], total[50]
681:acc[42.0%], correct[21], total[50]
682:acc[86.0%], correct[43], total[50]
683:acc[66.0%], correct[33], total[50]
684:acc[84.0%], correct[42], total[50]
685:acc[96.0%], correct[48], total[50]
686:acc[66.0%], correct[33], total[50]
687:acc[88.0%], correct[44], total[50]
688:acc[96.0%], correct[48], total[50]
689:acc[30.0%], correct[15], total[50]
690:acc[78.0%], correct[39], total[50]
691:acc[58.0%], correct[29], total[50]
692:acc[58.0%], correct[29], total[50]
693:acc[76.0%], correct[38], total[50]
694:acc[94.0%], correct[47], total[50]
